2020-01-03 22:37:33.066 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarting (55): Starting ArybyungObserverApplication on luke.local with PID 12715 (/Users/luke/workplace/Arybyung/arybyung-observer/out/production/classes started by luke in /Users/luke/workplace/Arybyung)
2020-01-03 22:37:33.070 INFO [           main] [c.h.a.ArybyungObserverApplication] logStartupProfileInfo (655): The following profiles are active: local
2020-01-03 22:37:35.769 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarted (61): Started ArybyungObserverApplication in 3.193 seconds (JVM running for 3.874)
2020-01-03 22:39:24.358 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarting (55): Starting ArybyungObserverApplication on luke.local with PID 13120 (/Users/luke/workplace/Arybyung/arybyung-observer/out/production/classes started by luke in /Users/luke/workplace/Arybyung)
2020-01-03 22:39:24.359 INFO [           main] [c.h.a.ArybyungObserverApplication] logStartupProfileInfo (655): The following profiles are active: local
2020-01-03 22:39:26.669 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarted (61): Started ArybyungObserverApplication in 2.735 seconds (JVM running for 3.171)
2020-01-03 22:40:11.961 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarting (55): Starting ArybyungObserverApplication on luke.local with PID 13293 (/Users/luke/workplace/Arybyung/arybyung-observer/out/production/classes started by luke in /Users/luke/workplace/Arybyung)
2020-01-03 22:40:11.962 INFO [           main] [c.h.a.ArybyungObserverApplication] logStartupProfileInfo (655): The following profiles are active: local
2020-01-03 22:40:14.101 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarted (61): Started ArybyungObserverApplication in 2.583 seconds (JVM running for 3.01)
2020-01-03 22:43:04.731 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarting (55): Starting ArybyungObserverApplication on luke.local with PID 13882 (/Users/luke/workplace/Arybyung/arybyung-observer/out/production/classes started by luke in /Users/luke/workplace/Arybyung)
2020-01-03 22:43:04.732 INFO [           main] [c.h.a.ArybyungObserverApplication] logStartupProfileInfo (655): The following profiles are active: local
2020-01-03 22:43:06.902 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarted (61): Started ArybyungObserverApplication in 2.589 seconds (JVM running for 3.153)
2020-01-03 22:43:27.250 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarting (55): Starting ArybyungObserverApplication on luke.local with PID 13968 (/Users/luke/workplace/Arybyung/arybyung-observer/out/production/classes started by luke in /Users/luke/workplace/Arybyung)
2020-01-03 22:43:27.251 INFO [           main] [c.h.a.ArybyungObserverApplication] logStartupProfileInfo (655): The following profiles are active: local
2020-01-03 22:43:29.376 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarted (61): Started ArybyungObserverApplication in 2.537 seconds (JVM running for 2.924)
2020-01-03 22:44:42.468 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarting (55): Starting ArybyungObserverApplication on luke.local with PID 14231 (/Users/luke/workplace/Arybyung/arybyung-observer/out/production/classes started by luke in /Users/luke/workplace/Arybyung)
2020-01-03 22:44:42.470 INFO [           main] [c.h.a.ArybyungObserverApplication] logStartupProfileInfo (655): The following profiles are active: local
2020-01-03 22:44:44.618 INFO [           main] [c.h.a.ArybyungObserverApplication] logStarted (61): Started ArybyungObserverApplication in 2.554 seconds (JVM running for 2.924)
